Navn;Stilling;Firma
Gunnar Melholt;Daglig Grevling;Grevlingberget AS
Silje Jordhull;Undergrunnssjef;Grevlingberget AS
Reidar Kloset;Juridisk Rådgiver;Grevlingberget AS
Hanne Pelsberg;HR-direktør;Grevlingberget AS
Torbjørn Tunnelberg;IT-direktør;Grevlingberget AS
Marte Sandgrav;Prosjektleder;Grevlingberget AS
Geir Gravheim;Infrastruktursjef;Grevlingberget AS
Ingrid Kveldstein;Nattskiftleder;Grevlingberget AS
Lars Bakkefjord;Økonomisjef;Grevlingberget AS
Sigrid Gravdal;UX-designer;Grevlingberget AS
Erik Kollen;Salgsdirektør;Grevlingberget AS
Anna Løkberg;Kommunikasjonssjef;Grevlingberget AS
Per Moldvik;Forretningsutvikler;Grevlingberget AS
Kari Bjørnskog;Logistikksjef;Grevlingberget AS
Olav Ravn;Produktsjef;Grevlingberget AS
Frida Holtet;Markedskoordinator;Grevlingberget AS
Magnus Eikholt;Sikkerhetsvakt;Grevlingberget AS
Tuva Bergrom;Teknisk Rådgiver;Grevlingberget AS
Bjørn Kveldby;Nattpatrulje;Grevlingberget AS
Solveig Gravlund;Arkitekt;Grevlingberget AS
Hallvard Kloh;Kjøkkensjef;Grevlingberget AS
Maja Holting;Dataingeniør;Grevlingberget AS
Henrik Skogbu;CFO;Grevlingberget AS
Ragnhild Pelsvarer;Innkjøpssjef;Grevlingberget AS
Finn Jordhall;Konsulent;Grevlingberget AS
